ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	significant_padj_0.05	pathway_class	pathway_type
Ethylbenzene degradation	Ethylbenzene degradation	11/316	17/1145	0.647058823529412	2.3445644080417	3.44691687338397	0.0014210259369287	0.0674987320041132	0.0643201213557201	gene_430/gene_1107/gene_1901/gene_3441/gene_4025/gene_4064/gene_4970/gene_5036/gene_6527/gene_7462/gene_8586	11	interaction_vs_self	significant	down	FALSE	Biodegradation of Xenobiotics	METABOLIC
Folate biosynthesis	Folate biosynthesis	11/316	17/1145	0.647058823529412	2.3445644080417	3.44691687338397	0.0014210259369287	0.0674987320041132	0.0643201213557201	gene_375/gene_1769/gene_3127/gene_3682/gene_3720/gene_4336/gene_4488/gene_5208/gene_7000/gene_7961/gene_8108	11	interaction_vs_self	significant	down	FALSE	Metabolism of Cofactors and Vitamins	METABOLIC
Benzoate degradation via hydroxylation	Benzoate degradation via hydroxylation	8/316	12/1145	0.666666666666667	2.41561181434599	3.04227966700302	0.00522060758143478	0.165319240078768	0.157534123509962	gene_460/gene_3938/gene_6790/gene_6858/gene_7401/gene_7933/gene_8470/gene_8471	8	interaction_vs_self	significant	down	FALSE	Biodegradation of Xenobiotics	METABOLIC
N-Glycan degradation	N-Glycan degradation	6/316	9/1145	0.666666666666667	2.41561181434599	2.63121027119115	0.0162441677159783	0.350421609623184	0.333919760970569	gene_705/gene_928/gene_2690/gene_6122/gene_6171/gene_7248	6	interaction_vs_self	significant	down	FALSE	Metabolism of Complex Carbohydrates	METABOLIC
Methane metabolism	Methane metabolism	8/316	14/1145	0.571428571428571	2.07052441229656	2.48718780166823	0.0184432426117465	0.350421609623184	0.333919760970569	gene_1157/gene_4253/gene_5766/gene_5980/gene_6240/gene_6609/gene_7620/gene_7987	8	interaction_vs_self	significant	down	FALSE	Energy Metabolism	METABOLIC
Androgen and estrogen metabolism	Androgen and estrogen metabolism	10/316	20/1145	0.5	1.81170886075949	2.26005137579243	0.0265194724172044	0.368895720458157	0.351523899827163	gene_152/gene_2914/gene_4155/gene_4253/gene_5762/gene_5766/gene_7325/gene_7651/gene_7987/gene_8175	10	interaction_vs_self	significant	down	FALSE	Lipid Metabolism	METABOLIC
Benzoate degradation via CoA ligation	Benzoate degradation via CoA ligation	25/316	64/1145	0.390625	1.41539754746835	2.11067009254215	0.0271817899284957	0.368895720458157	0.351523899827163	gene_2/gene_430/gene_949/gene_972/gene_1107/gene_2418/gene_2629/gene_2964/gene_3441/gene_3703/gene_3938/gene_4064/gene_4970/gene_5009/gene_5036/gene_5461/gene_5481/gene_5515/gene_7103/gene_7462/gene_7983/gene_7989/gene_8270/gene_8385/gene_8586	25	interaction_vs_self	significant	down	FALSE	Biodegradation of Xenobiotics	METABOLIC
Ubiquinone biosynthesis	Ubiquinone biosynthesis	12/316	27/1145	0.444444444444444	1.61040787623066	1.98089017228621	0.0430530057064312	0.47962912591398	0.457042712782297	gene_58/gene_152/gene_249/gene_2914/gene_3938/gene_4253/gene_5762/gene_5766/gene_7651/gene_7928/gene_7987/gene_8175	12	interaction_vs_self	significant	down	FALSE	Metabolism of Cofactors and Vitamins	METABOLIC
Starch and sucrose metabolism	Starch and sucrose metabolism	27/316	73/1145	0.36986301369863	1.34016819837004	1.85368969455731	0.0454385487707981	0.47962912591398	0.457042712782297	gene_559/gene_631/gene_648/gene_1109/gene_1388/gene_1439/gene_1769/gene_2886/gene_2946/gene_2947/gene_2958/gene_3127/gene_3418/gene_3731/gene_4052/gene_4488/gene_4862/gene_5037/gene_5208/gene_5659/gene_5694/gene_6311/gene_7117/gene_7979/gene_8108/gene_8385/gene_8563	27	interaction_vs_self	significant	down	FALSE	Metabolism of Complex Carbohydrates	METABOLIC
Glycosaminoglycan degradation	Glycosaminoglycan degradation	4/316	6/1145	0.666666666666667	2.41561181434599	2.14554303468453	0.0525444766410972	0.499172528090423	0.475665788540459	gene_705/gene_2690/gene_6122/gene_7248	4	interaction_vs_self	significant	down	FALSE	Metabolism of Complex Carbohydrates	METABOLIC
