ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	ontology	significant_padj_0.05
GO:0003735	structural constituent of ribosome	68/662	120/2680	0.566666666666667	2.29405840886203	8.30575832394896	1.87076964587458e-14	1.05885561956501e-11	1.01612330239083e-11	TRINITY_DN3_c0_g1/TRINITY_DN150_c0_g1/TRINITY_DN221_c0_g1/TRINITY_DN222_c0_g1/TRINITY_DN229_c0_g1/TRINITY_DN419_c0_g1/TRINITY_DN425_c0_g1/TRINITY_DN439_c0_g1/TRINITY_DN487_c0_g1/TRINITY_DN500_c0_g1/TRINITY_DN624_c0_g1/TRINITY_DN677_c0_g1/TRINITY_DN751_c0_g1/TRINITY_DN775_c0_g1/TRINITY_DN839_c0_g1/TRINITY_DN879_c0_g1/TRINITY_DN899_c0_g1/TRINITY_DN1286_c0_g1/TRINITY_DN1308_c0_g1/TRINITY_DN1375_c0_g1/TRINITY_DN1377_c0_g1/TRINITY_DN1467_c0_g1/TRINITY_DN1469_c0_g1/TRINITY_DN1473_c0_g1/TRINITY_DN1532_c0_g1/TRINITY_DN1644_c0_g1/TRINITY_DN1726_c0_g1/TRINITY_DN1761_c0_g1/TRINITY_DN1820_c0_g1/TRINITY_DN2008_c0_g1/TRINITY_DN2052_c0_g1/TRINITY_DN2122_c0_g1/TRINITY_DN2208_c0_g1/TRINITY_DN2293_c0_g1/TRINITY_DN2304_c0_g1/TRINITY_DN2345_c0_g1/TRINITY_DN2394_c0_g1/TRINITY_DN2413_c0_g1/TRINITY_DN2474_c0_g1/TRINITY_DN2490_c0_g1/TRINITY_DN2600_c0_g1/TRINITY_DN2608_c0_g1/TRINITY_DN2774_c0_g1/TRINITY_DN2945_c0_g1/TRINITY_DN3042_c0_g1/TRINITY_DN3081_c0_g1/TRINITY_DN3107_c0_g1/TRINITY_DN3506_c0_g1/TRINITY_DN3737_c0_g1/TRINITY_DN3773_c0_g1/TRINITY_DN4324_c0_g1/TRINITY_DN4425_c0_g1/TRINITY_DN4433_c0_g1/TRINITY_DN4639_c0_g1/TRINITY_DN4699_c0_g1/TRINITY_DN4749_c0_g1/TRINITY_DN4920_c1_g1/TRINITY_DN5462_c0_g1/TRINITY_DN5780_c0_g1/TRINITY_DN5975_c0_g1/TRINITY_DN6302_c0_g1/TRINITY_DN6841_c0_g1/TRINITY_DN7140_c0_g1/TRINITY_DN7147_c0_g1/TRINITY_DN7613_c0_g2/TRINITY_DN8771_c0_g1/TRINITY_DN17659_c0_g1/TRINITY_DN18254_c0_g1	68	interaction_vs_self	significant	down	MF	TRUE
GO:0005198	structural molecule activity	91/662	199/2680	0.457286432160804	1.85125020874767	7.14702264365409	1.40830653002788e-11	3.9855074799789e-09	3.82466404997046e-09	TRINITY_DN3_c0_g1/TRINITY_DN15_c0_g1/TRINITY_DN35_c0_g2/TRINITY_DN150_c0_g1/TRINITY_DN221_c0_g1/TRINITY_DN222_c0_g1/TRINITY_DN229_c0_g1/TRINITY_DN419_c0_g1/TRINITY_DN425_c0_g1/TRINITY_DN439_c0_g1/TRINITY_DN487_c0_g1/TRINITY_DN500_c0_g1/TRINITY_DN624_c0_g1/TRINITY_DN677_c0_g1/TRINITY_DN751_c0_g1/TRINITY_DN775_c0_g1/TRINITY_DN834_c0_g1/TRINITY_DN839_c0_g1/TRINITY_DN879_c0_g1/TRINITY_DN899_c0_g1/TRINITY_DN1006_c0_g2/TRINITY_DN1151_c0_g1/TRINITY_DN1191_c0_g2/TRINITY_DN1193_c0_g1/TRINITY_DN1286_c0_g1/TRINITY_DN1308_c0_g1/TRINITY_DN1375_c0_g1/TRINITY_DN1377_c0_g1/TRINITY_DN1467_c0_g1/TRINITY_DN1469_c0_g1/TRINITY_DN1473_c0_g1/TRINITY_DN1532_c0_g1/TRINITY_DN1543_c0_g1/TRINITY_DN1644_c0_g1/TRINITY_DN1726_c0_g1/TRINITY_DN1761_c0_g1/TRINITY_DN1820_c0_g1/TRINITY_DN2008_c0_g1/TRINITY_DN2052_c0_g1/TRINITY_DN2122_c0_g1/TRINITY_DN2208_c0_g1/TRINITY_DN2275_c0_g1/TRINITY_DN2293_c0_g1/TRINITY_DN2304_c0_g1/TRINITY_DN2312_c0_g1/TRINITY_DN2345_c0_g1/TRINITY_DN2350_c0_g1/TRINITY_DN2394_c0_g1/TRINITY_DN2413_c0_g1/TRINITY_DN2462_c0_g1/TRINITY_DN2474_c0_g1/TRINITY_DN2482_c0_g1/TRINITY_DN2490_c0_g1/TRINITY_DN2600_c0_g1/TRINITY_DN2608_c0_g1/TRINITY_DN2774_c0_g1/TRINITY_DN2936_c0_g1/TRINITY_DN2945_c0_g1/TRINITY_DN3042_c0_g1/TRINITY_DN3081_c0_g1/TRINITY_DN3107_c0_g1/TRINITY_DN3192_c0_g1/TRINITY_DN3199_c0_g1/TRINITY_DN3506_c0_g1/TRINITY_DN3737_c0_g1/TRINITY_DN3756_c0_g1/TRINITY_DN3773_c0_g1/TRINITY_DN3833_c0_g3/TRINITY_DN4116_c0_g1/TRINITY_DN4118_c0_g1/TRINITY_DN4324_c0_g1/TRINITY_DN4425_c0_g1/TRINITY_DN4433_c0_g1/TRINITY_DN4639_c0_g1/TRINITY_DN4699_c0_g1/TRINITY_DN4749_c0_g1/TRINITY_DN4816_c0_g1/TRINITY_DN4920_c1_g1/TRINITY_DN5462_c0_g1/TRINITY_DN5780_c0_g1/TRINITY_DN5975_c0_g1/TRINITY_DN6302_c0_g1/TRINITY_DN6841_c0_g1/TRINITY_DN7140_c0_g1/TRINITY_DN7147_c0_g1/TRINITY_DN7613_c0_g2/TRINITY_DN8771_c0_g1/TRINITY_DN12306_c0_g1/TRINITY_DN17659_c0_g1/TRINITY_DN18034_c0_g1/TRINITY_DN18254_c0_g1	91	interaction_vs_self	significant	down	MF	TRUE
GO:0003723	RNA binding	138/662	412/2680	0.33495145631068	1.35599683219429	4.4980884067986	7.65621347813549e-06	0.00144447227620823	0.00138617759814664	TRINITY_DN15_c0_g1/TRINITY_DN32_c0_g1/TRINITY_DN55_c0_g1/TRINITY_DN57_c0_g1/TRINITY_DN123_c0_g1/TRINITY_DN135_c0_g1/TRINITY_DN143_c0_g1/TRINITY_DN150_c0_g1/TRINITY_DN163_c0_g1/TRINITY_DN221_c0_g1/TRINITY_DN222_c0_g1/TRINITY_DN227_c0_g1/TRINITY_DN229_c0_g1/TRINITY_DN245_c0_g1/TRINITY_DN285_c0_g1/TRINITY_DN419_c0_g1/TRINITY_DN425_c0_g1/TRINITY_DN433_c0_g1/TRINITY_DN487_c0_g1/TRINITY_DN499_c0_g1/TRINITY_DN524_c0_g1/TRINITY_DN624_c0_g1/TRINITY_DN647_c0_g1/TRINITY_DN677_c0_g1/TRINITY_DN693_c0_g1/TRINITY_DN733_c0_g1/TRINITY_DN758_c0_g1/TRINITY_DN879_c0_g1/TRINITY_DN899_c0_g1/TRINITY_DN995_c0_g1/TRINITY_DN1001_c0_g1/TRINITY_DN1056_c0_g1/TRINITY_DN1088_c0_g1/TRINITY_DN1132_c0_g1/TRINITY_DN1221_c4_g1/TRINITY_DN1252_c0_g1/TRINITY_DN1308_c0_g1/TRINITY_DN1313_c0_g1/TRINITY_DN1375_c0_g1/TRINITY_DN1386_c0_g1/TRINITY_DN1398_c0_g1/TRINITY_DN1473_c0_g1/TRINITY_DN1532_c0_g1/TRINITY_DN1644_c0_g1/TRINITY_DN1646_c0_g1/TRINITY_DN1677_c0_g1/TRINITY_DN1689_c0_g1/TRINITY_DN1709_c0_g1/TRINITY_DN1726_c0_g1/TRINITY_DN1820_c0_g1/TRINITY_DN1978_c0_g1/TRINITY_DN1989_c0_g1/TRINITY_DN2052_c0_g1/TRINITY_DN2101_c0_g1/TRINITY_DN2122_c0_g1/TRINITY_DN2206_c0_g1/TRINITY_DN2213_c0_g1/TRINITY_DN2244_c0_g1/TRINITY_DN2293_c0_g1/TRINITY_DN2301_c0_g1/TRINITY_DN2308_c0_g1/TRINITY_DN2336_c0_g1/TRINITY_DN2345_c0_g1/TRINITY_DN2352_c0_g1/TRINITY_DN2394_c0_g1/TRINITY_DN2417_c0_g1/TRINITY_DN2490_c0_g1/TRINITY_DN2600_c0_g1/TRINITY_DN2638_c0_g1/TRINITY_DN2705_c0_g1/TRINITY_DN2731_c0_g1/TRINITY_DN2882_c0_g1/TRINITY_DN2945_c0_g1/TRINITY_DN2977_c0_g1/TRINITY_DN2982_c0_g1/TRINITY_DN3042_c0_g1/TRINITY_DN3081_c0_g1/TRINITY_DN3107_c0_g1/TRINITY_DN3119_c0_g1/TRINITY_DN3232_c0_g1/TRINITY_DN3306_c0_g1/TRINITY_DN3418_c0_g1/TRINITY_DN3427_c0_g1/TRINITY_DN3526_c0_g1/TRINITY_DN3590_c0_g1/TRINITY_DN3631_c0_g1/TRINITY_DN3663_c0_g1/TRINITY_DN3737_c0_g1/TRINITY_DN3773_c0_g1/TRINITY_DN3869_c0_g1/TRINITY_DN3977_c0_g1/TRINITY_DN3985_c0_g1/TRINITY_DN4003_c0_g1/TRINITY_DN4022_c0_g1/TRINITY_DN4061_c0_g1/TRINITY_DN4110_c0_g1/TRINITY_DN4176_c0_g1/TRINITY_DN4199_c0_g1/TRINITY_DN4305_c0_g1/TRINITY_DN4324_c0_g1/TRINITY_DN4419_c0_g1/TRINITY_DN4425_c0_g1/TRINITY_DN4480_c0_g1/TRINITY_DN4631_c0_g1/TRINITY_DN4892_c1_g1/TRINITY_DN5051_c0_g1/TRINITY_DN5306_c0_g2/TRINITY_DN5390_c0_g2/TRINITY_DN5508_c0_g1/TRINITY_DN5532_c0_g1/TRINITY_DN5558_c0_g1/TRINITY_DN5780_c0_g1/TRINITY_DN5975_c0_g1/TRINITY_DN6044_c0_g1/TRINITY_DN6827_c0_g1/TRINITY_DN7147_c0_g1/TRINITY_DN8863_c0_g1/TRINITY_DN8992_c0_g1/TRINITY_DN9054_c1_g1/TRINITY_DN9168_c0_g1/TRINITY_DN9425_c0_g1/TRINITY_DN10690_c0_g1/TRINITY_DN10696_c0_g1/TRINITY_DN10890_c0_g1/TRINITY_DN11165_c0_g1/TRINITY_DN12355_c0_g1/TRINITY_DN12409_c0_g1/TRINITY_DN12670_c0_g1/TRINITY_DN12702_c0_g1/TRINITY_DN14049_c0_g1/TRINITY_DN14073_c0_g1/TRINITY_DN14110_c0_g1/TRINITY_DN14177_c0_g1/TRINITY_DN14358_c0_g1/TRINITY_DN15870_c0_g1/TRINITY_DN16168_c0_g1/TRINITY_DN16199_c0_g1/TRINITY_DN18045_c0_g1	138	interaction_vs_self	significant	down	MF	TRUE
GO:0008135	translation factor activity, RNA binding	25/662	49/2680	0.510204081632653	2.06547875947962	4.31059462391754	5.5056809905048e-05	0.00779053860156429	0.00747613523973809	TRINITY_DN15_c0_g1/TRINITY_DN163_c0_g1/TRINITY_DN285_c0_g1/TRINITY_DN433_c0_g1/TRINITY_DN693_c0_g1/TRINITY_DN758_c0_g1/TRINITY_DN1056_c0_g1/TRINITY_DN1088_c0_g1/TRINITY_DN1221_c4_g1/TRINITY_DN1375_c0_g1/TRINITY_DN2101_c0_g1/TRINITY_DN2301_c0_g1/TRINITY_DN2705_c0_g1/TRINITY_DN2731_c0_g1/TRINITY_DN2882_c0_g1/TRINITY_DN2977_c0_g1/TRINITY_DN2982_c0_g1/TRINITY_DN3119_c0_g1/TRINITY_DN3232_c0_g1/TRINITY_DN4419_c0_g1/TRINITY_DN6044_c0_g1/TRINITY_DN12409_c0_g1/TRINITY_DN14049_c0_g1/TRINITY_DN15870_c0_g1/TRINITY_DN16168_c0_g1	25	interaction_vs_self	significant	down	MF	TRUE
GO:0030515	snoRNA binding	17/662	32/2680	0.53125	2.15067975830816	3.74994797699312	0.000476852467700056	0.0516248508773536	0.0495414228244643	TRINITY_DN499_c0_g1/TRINITY_DN1313_c0_g1/TRINITY_DN2213_c0_g1/TRINITY_DN2308_c0_g1/TRINITY_DN3418_c0_g1/TRINITY_DN3590_c0_g1/TRINITY_DN4176_c0_g1/TRINITY_DN4631_c0_g1/TRINITY_DN5558_c0_g1/TRINITY_DN8863_c0_g1/TRINITY_DN9168_c0_g1/TRINITY_DN10890_c0_g1/TRINITY_DN11165_c0_g1/TRINITY_DN12355_c0_g1/TRINITY_DN12702_c0_g1/TRINITY_DN14073_c0_g1/TRINITY_DN14110_c0_g1	17	interaction_vs_self	significant	down	MF	FALSE
GO:0016879	ligase activity, forming carbon-nitrogen bonds	18/662	35/2680	0.514285714285714	2.08200258955546	3.6898121341742	0.000547259903293501	0.0516248508773536	0.0495414228244643	TRINITY_DN666_c0_g1/TRINITY_DN872_c0_g1/TRINITY_DN925_c0_g1/TRINITY_DN1029_c2_g1/TRINITY_DN1242_c0_g1/TRINITY_DN1315_c0_g1/TRINITY_DN1387_c0_g1/TRINITY_DN1531_c0_g1/TRINITY_DN1670_c0_g1/TRINITY_DN1966_c0_g1/TRINITY_DN2101_c0_g1/TRINITY_DN2660_c0_g1/TRINITY_DN3509_c0_g1/TRINITY_DN4024_c0_g1/TRINITY_DN5321_c1_g1/TRINITY_DN6645_c0_g1/TRINITY_DN12271_c0_g1/TRINITY_DN16058_c0_g1	18	interaction_vs_self	significant	down	MF	FALSE
GO:0016491	oxidoreductase activity	89/662	269/2680	0.330855018587361	1.33941306618448	3.36094079724642	0.000677651934479711	0.0547929992736452	0.052581714013764	TRINITY_DN8_c0_g1/TRINITY_DN28_c1_g1/TRINITY_DN75_c1_g1/TRINITY_DN160_c0_g1/TRINITY_DN186_c1_g1/TRINITY_DN188_c0_g1/TRINITY_DN241_c0_g1/TRINITY_DN243_c0_g1/TRINITY_DN266_c0_g1/TRINITY_DN314_c0_g1/TRINITY_DN320_c0_g1/TRINITY_DN345_c0_g2/TRINITY_DN379_c0_g1/TRINITY_DN393_c0_g1/TRINITY_DN582_c1_g1/TRINITY_DN761_c0_g1/TRINITY_DN890_c0_g1/TRINITY_DN958_c0_g1/TRINITY_DN1001_c0_g1/TRINITY_DN1007_c0_g1/TRINITY_DN1057_c0_g1/TRINITY_DN1125_c0_g1/TRINITY_DN1182_c0_g1/TRINITY_DN1252_c0_g1/TRINITY_DN1363_c0_g1/TRINITY_DN1538_c0_g1/TRINITY_DN1543_c0_g1/TRINITY_DN1561_c0_g1/TRINITY_DN1597_c0_g1/TRINITY_DN1689_c0_g1/TRINITY_DN1834_c0_g2/TRINITY_DN1860_c0_g1/TRINITY_DN1906_c0_g1/TRINITY_DN1961_c0_g1/TRINITY_DN1989_c0_g1/TRINITY_DN2082_c0_g3/TRINITY_DN2101_c0_g1/TRINITY_DN2116_c0_g1/TRINITY_DN2207_c0_g1/TRINITY_DN2275_c0_g1/TRINITY_DN2352_c0_g1/TRINITY_DN2631_c0_g1/TRINITY_DN2731_c0_g1/TRINITY_DN2810_c0_g1/TRINITY_DN3006_c0_g1/TRINITY_DN3081_c0_g1/TRINITY_DN3101_c0_g1/TRINITY_DN3165_c0_g1/TRINITY_DN3608_c0_g1/TRINITY_DN3823_c0_g1/TRINITY_DN3931_c0_g1/TRINITY_DN3985_c0_g1/TRINITY_DN3997_c0_g1/TRINITY_DN4040_c0_g1/TRINITY_DN4048_c0_g1/TRINITY_DN4139_c0_g1/TRINITY_DN4176_c0_g1/TRINITY_DN4181_c0_g1/TRINITY_DN4230_c0_g1/TRINITY_DN4236_c0_g1/TRINITY_DN4443_c0_g1/TRINITY_DN4569_c0_g1/TRINITY_DN4615_c0_g1/TRINITY_DN4655_c0_g1/TRINITY_DN4673_c0_g1/TRINITY_DN4675_c0_g1/TRINITY_DN4772_c0_g1/TRINITY_DN5126_c0_g1/TRINITY_DN5237_c0_g1/TRINITY_DN5398_c0_g1/TRINITY_DN8475_c0_g1/TRINITY_DN8740_c1_g1/TRINITY_DN10806_c0_g1/TRINITY_DN10887_c0_g1/TRINITY_DN12361_c0_g1/TRINITY_DN12913_c0_g1/TRINITY_DN13118_c0_g1/TRINITY_DN14088_c0_g1/TRINITY_DN14161_c0_g1/TRINITY_DN14212_c0_g1/TRINITY_DN14263_c0_g1/TRINITY_DN14338_c0_g1/TRINITY_DN16054_c0_g1/TRINITY_DN16409_c0_g1/TRINITY_DN16577_c0_g1/TRINITY_DN17765_c0_g1/TRINITY_DN17878_c0_g1/TRINITY_DN18013_c0_g1/TRINITY_DN18445_c0_g1	89	interaction_vs_self	significant	down	MF	FALSE
GO:0000166	nucleotide binding	104/662	325/2680	0.32	1.29546827794562	3.253957350396	0.000913273267316334	0.0574347410334494	0.0551168427994419	TRINITY_DN3_c0_g1/TRINITY_DN3_c1_g1/TRINITY_DN57_c0_g1/TRINITY_DN75_c1_g1/TRINITY_DN135_c0_g1/TRINITY_DN158_c0_g1/TRINITY_DN212_c0_g1/TRINITY_DN222_c0_g1/TRINITY_DN227_c0_g1/TRINITY_DN266_c0_g1/TRINITY_DN293_c0_g1/TRINITY_DN394_c0_g1/TRINITY_DN418_c0_g1/TRINITY_DN685_c0_g1/TRINITY_DN758_c0_g1/TRINITY_DN868_c0_g1/TRINITY_DN876_c0_g1/TRINITY_DN898_c0_g1/TRINITY_DN989_c0_g1/TRINITY_DN1006_c0_g2/TRINITY_DN1127_c0_g1/TRINITY_DN1185_c0_g1/TRINITY_DN1191_c0_g1/TRINITY_DN1191_c0_g2/TRINITY_DN1315_c0_g1/TRINITY_DN1375_c0_g1/TRINITY_DN1382_c0_g1/TRINITY_DN1387_c0_g1/TRINITY_DN1398_c0_g1/TRINITY_DN1438_c0_g1/TRINITY_DN1532_c0_g1/TRINITY_DN1597_c0_g1/TRINITY_DN1745_c0_g1/TRINITY_DN1833_c0_g1/TRINITY_DN1854_c0_g1/TRINITY_DN1924_c0_g1/TRINITY_DN2051_c0_g1/TRINITY_DN2101_c0_g1/TRINITY_DN2104_c0_g1/TRINITY_DN2116_c0_g1/TRINITY_DN2206_c0_g1/TRINITY_DN2207_c0_g1/TRINITY_DN2233_c0_g1/TRINITY_DN2275_c0_g1/TRINITY_DN2301_c0_g1/TRINITY_DN2349_c0_g1/TRINITY_DN2412_c0_g1/TRINITY_DN2523_c0_g1/TRINITY_DN2529_c0_g1/TRINITY_DN2705_c0_g1/TRINITY_DN2726_c0_g1/TRINITY_DN2731_c0_g1/TRINITY_DN2743_c0_g1/TRINITY_DN2822_c0_g1/TRINITY_DN2960_c0_g1/TRINITY_DN2977_c0_g1/TRINITY_DN2982_c0_g1/TRINITY_DN3006_c0_g1/TRINITY_DN3010_c0_g1/TRINITY_DN3116_c0_g1/TRINITY_DN3306_c0_g1/TRINITY_DN3427_c0_g1/TRINITY_DN3590_c0_g1/TRINITY_DN3608_c0_g1/TRINITY_DN3631_c0_g1/TRINITY_DN3693_c0_g1/TRINITY_DN3830_c0_g1/TRINITY_DN4024_c0_g1/TRINITY_DN4199_c0_g1/TRINITY_DN4230_c0_g1/TRINITY_DN4336_c0_g1/TRINITY_DN4348_c0_g1/TRINITY_DN4401_c0_g1/TRINITY_DN4480_c0_g1/TRINITY_DN4602_c0_g1/TRINITY_DN4892_c1_g1/TRINITY_DN5126_c0_g1/TRINITY_DN5237_c0_g1/TRINITY_DN5532_c0_g1/TRINITY_DN5975_c0_g1/TRINITY_DN5982_c0_g1/TRINITY_DN6594_c0_g2/TRINITY_DN6645_c0_g1/TRINITY_DN6741_c1_g1/TRINITY_DN7695_c0_g1/TRINITY_DN8771_c0_g1/TRINITY_DN8927_c0_g1/TRINITY_DN8992_c0_g1/TRINITY_DN9425_c0_g1/TRINITY_DN10522_c0_g1/TRINITY_DN10773_c0_g1/TRINITY_DN10839_c0_g1/TRINITY_DN12384_c0_g1/TRINITY_DN12501_c0_g1/TRINITY_DN12913_c0_g1/TRINITY_DN14021_c1_g1/TRINITY_DN14313_c0_g1/TRINITY_DN15855_c0_g1/TRINITY_DN16054_c0_g1/TRINITY_DN16409_c0_g1/TRINITY_DN17765_c0_g1/TRINITY_DN18013_c0_g1/TRINITY_DN18341_c0_g1/TRINITY_DN18445_c0_g1	104	interaction_vs_self	significant	down	MF	FALSE
GO:1901265	nucleoside phosphate binding	104/662	325/2680	0.32	1.29546827794562	3.253957350396	0.000913273267316334	0.0574347410334494	0.0551168427994419	TRINITY_DN3_c0_g1/TRINITY_DN3_c1_g1/TRINITY_DN57_c0_g1/TRINITY_DN75_c1_g1/TRINITY_DN135_c0_g1/TRINITY_DN158_c0_g1/TRINITY_DN212_c0_g1/TRINITY_DN222_c0_g1/TRINITY_DN227_c0_g1/TRINITY_DN266_c0_g1/TRINITY_DN293_c0_g1/TRINITY_DN394_c0_g1/TRINITY_DN418_c0_g1/TRINITY_DN685_c0_g1/TRINITY_DN758_c0_g1/TRINITY_DN868_c0_g1/TRINITY_DN876_c0_g1/TRINITY_DN898_c0_g1/TRINITY_DN989_c0_g1/TRINITY_DN1006_c0_g2/TRINITY_DN1127_c0_g1/TRINITY_DN1185_c0_g1/TRINITY_DN1191_c0_g1/TRINITY_DN1191_c0_g2/TRINITY_DN1315_c0_g1/TRINITY_DN1375_c0_g1/TRINITY_DN1382_c0_g1/TRINITY_DN1387_c0_g1/TRINITY_DN1398_c0_g1/TRINITY_DN1438_c0_g1/TRINITY_DN1532_c0_g1/TRINITY_DN1597_c0_g1/TRINITY_DN1745_c0_g1/TRINITY_DN1833_c0_g1/TRINITY_DN1854_c0_g1/TRINITY_DN1924_c0_g1/TRINITY_DN2051_c0_g1/TRINITY_DN2101_c0_g1/TRINITY_DN2104_c0_g1/TRINITY_DN2116_c0_g1/TRINITY_DN2206_c0_g1/TRINITY_DN2207_c0_g1/TRINITY_DN2233_c0_g1/TRINITY_DN2275_c0_g1/TRINITY_DN2301_c0_g1/TRINITY_DN2349_c0_g1/TRINITY_DN2412_c0_g1/TRINITY_DN2523_c0_g1/TRINITY_DN2529_c0_g1/TRINITY_DN2705_c0_g1/TRINITY_DN2726_c0_g1/TRINITY_DN2731_c0_g1/TRINITY_DN2743_c0_g1/TRINITY_DN2822_c0_g1/TRINITY_DN2960_c0_g1/TRINITY_DN2977_c0_g1/TRINITY_DN2982_c0_g1/TRINITY_DN3006_c0_g1/TRINITY_DN3010_c0_g1/TRINITY_DN3116_c0_g1/TRINITY_DN3306_c0_g1/TRINITY_DN3427_c0_g1/TRINITY_DN3590_c0_g1/TRINITY_DN3608_c0_g1/TRINITY_DN3631_c0_g1/TRINITY_DN3693_c0_g1/TRINITY_DN3830_c0_g1/TRINITY_DN4024_c0_g1/TRINITY_DN4199_c0_g1/TRINITY_DN4230_c0_g1/TRINITY_DN4336_c0_g1/TRINITY_DN4348_c0_g1/TRINITY_DN4401_c0_g1/TRINITY_DN4480_c0_g1/TRINITY_DN4602_c0_g1/TRINITY_DN4892_c1_g1/TRINITY_DN5126_c0_g1/TRINITY_DN5237_c0_g1/TRINITY_DN5532_c0_g1/TRINITY_DN5975_c0_g1/TRINITY_DN5982_c0_g1/TRINITY_DN6594_c0_g2/TRINITY_DN6645_c0_g1/TRINITY_DN6741_c1_g1/TRINITY_DN7695_c0_g1/TRINITY_DN8771_c0_g1/TRINITY_DN8927_c0_g1/TRINITY_DN8992_c0_g1/TRINITY_DN9425_c0_g1/TRINITY_DN10522_c0_g1/TRINITY_DN10773_c0_g1/TRINITY_DN10839_c0_g1/TRINITY_DN12384_c0_g1/TRINITY_DN12501_c0_g1/TRINITY_DN12913_c0_g1/TRINITY_DN14021_c1_g1/TRINITY_DN14313_c0_g1/TRINITY_DN15855_c0_g1/TRINITY_DN16054_c0_g1/TRINITY_DN16409_c0_g1/TRINITY_DN17765_c0_g1/TRINITY_DN18013_c0_g1/TRINITY_DN18341_c0_g1/TRINITY_DN18445_c0_g1	104	interaction_vs_self	significant	down	MF	FALSE
GO:0019843	rRNA binding	18/662	37/2680	0.486486486486487	1.96946190903895	3.40046102136288	0.00127576472298727	0.0722082833210796	0.0692941681117297	TRINITY_DN150_c0_g1/TRINITY_DN677_c0_g1/TRINITY_DN879_c0_g1/TRINITY_DN1132_c0_g1/TRINITY_DN1308_c0_g1/TRINITY_DN1532_c0_g1/TRINITY_DN1644_c0_g1/TRINITY_DN1677_c0_g1/TRINITY_DN1820_c0_g1/TRINITY_DN2293_c0_g1/TRINITY_DN2345_c0_g1/TRINITY_DN3418_c0_g1/TRINITY_DN3737_c0_g1/TRINITY_DN4061_c0_g1/TRINITY_DN4110_c0_g1/TRINITY_DN4425_c0_g1/TRINITY_DN5306_c0_g2/TRINITY_DN5558_c0_g1	18	interaction_vs_self	significant	down	MF	FALSE
